idDriver,idBike,unlock_date,lock_date,distance,trip_duration_category,station_unlock_count,travel_direction,lock_unlock_time_gap_hours
1020,1278,5,5,1089,0,53,1,0
7304,2543,24,25,7552,0,168,0,0
1489,1735,24,25,4855,0,143,1,0
5257,2331,3,3,5310,0,137,0,0
7754,941,22,23,3063,0,111,0,0
2455,1532,1,1,309,0,95,0,0
7311,190,26,27,7748,1,140,0,1
11322,1173,24,25,11613,0,187,0,0
13402,661,16,18,1660,0,48,1,17
17886,2279,28,29,3594,0,70,0,0
9942,2549,8,8,7093,0,122,1,1
9446,1619,24,25,16641,2,84,0,0
244,118,0,0,236,0,77,1,0
159,209,6,6,1306,0,42,0,0
6274,1527,4,4,6396,0,36,0,0
4698,1179,8,8,8515,0,8,1,0
4541,866,3,3,4563,0,74,0,0
9765,2663,11,11,4258,0,169,1,0
6978,496,5,5,5195,0,141,1,0
446,91,28,29,11181,1,150,1,1
1022,1231,21,22,1002,0,113,1,0
12585,878,13,14,12830,1,97,1,1
1638,417,5,5,1772,1,1,1,0
7930,1074,6,6,277,1,108,1,1
4652,1386,10,10,7742,1,36,1,0
14175,1009,28,29,4309,1,19,0,0
593,2970,13,15,1305,2,77,1,18
121,679,2,2,120,0,75,1,1
13186,614,15,16,8909,0,131,0,0
6634,31,19,20,14370,0,96,1,0
9196,1676,28,29,18301,2,116,1,1
16002,2191,22,23,55,0,24,0,0
5423,2704,18,19,8725,1,181,1,0
15256,1463,26,27,24,2,16,2,0
3804,830,2,2,3800,0,5,1,0
4705,70,8,8,374,0,181,1,1
10181,34,16,17,9044,0,62,0,0
6663,856,20,21,15599,0,151,0,0
234,435,9,9,9251,0,121,1,0
12999,2466,15,16,13204,1,140,1,0
2977,1727,1,1,2983,1,3,1,0
7212,2422,16,17,5375,0,9,1,0
10400,1211,9,9,10637,1,12,0,0
875,1193,15,16,852,1,41,1,0
9347,427,25,26,9428,0,59,0,0
553,1233,7,7,532,1,34,1,0
11877,1326,12,13,12154,2,181,1,0
10095,127,20,22,15624,1,115,1,1
6334,2516,4,4,6459,0,101,0,0
13894,308,17,18,13952,1,95,1,0
7197,2912,16,17,5371,0,110,1,1
2350,1365,1,1,2350,0,97,0,1
692,698,19,20,9987,0,91,1,1
12762,1365,15,16,13457,0,111,0,0
2267,871,1,1,2227,0,43,0,0
599,2476,9,9,10648,0,50,1,4
11984,1319,12,13,12256,1,166,1,1
7537,2763,7,7,3554,0,151,0,0
8148,612,28,29,10125,0,31,0,0
6115,177,21,22,15786,0,36,0,1
5209,2189,12,13,7414,0,118,1,0
6073,1608,4,4,6171,1,165,1,1
14565,509,18,19,1921,0,183,0,0
3553,836,22,23,10655,0,85,1,0
10433,2300,9,9,10800,1,32,1,1
13594,824,23,24,8617,0,91,0,0
3340,918,9,9,1055,0,29,0,0
2497,1173,2,2,4141,1,105,0,0
1316,2048,7,7,1304,0,70,0,0
5080,1707,20,21,15646,1,165,1,0
1678,1584,16,17,13823,0,170,1,0
10421,337,22,23,1279,0,124,1,0
5049,1740,18,19,3217,0,118,0,1
9201,2543,14,15,4403,1,26,1,1
698,246,6,6,677,0,53,0,0
14662,1114,20,21,15766,0,35,1,0
14680,978,18,19,558,0,135,1,0
5807,723,4,4,5881,0,14,0,0
161,866,4,4,6613,0,66,1,0
5920,3016,25,26,17014,0,17,0,12
1947,1338,0,0,1941,1,50,0,0
7854,2337,6,6,8142,0,90,0,0
335,639,12,13,4653,1,89,0,1
5384,700,3,3,3029,1,15,1,1
15612,2016,20,21,2481,1,136,0,1
3153,1256,12,13,12496,2,130,1,1
13377,1005,28,29,18232,1,56,0,0
12008,2879,12,13,1352,0,46,0,0
3065,1307,25,26,14652,1,105,0,0
1645,1348,20,21,15494,1,48,0,0
1443,701,12,13,4570,1,58,0,0
14896,2497,19,20,11126,1,28,1,1
5604,2301,28,29,386,0,54,0,0
11402,1097,25,26,12362,0,51,1,0
11890,2824,24,25,11821,0,55,1,0
5403,997,3,3,5452,1,52,0,1
8987,1007,18,19,6104,0,102,0,0
5186,359,3,3,5230,1,95,1,0
11113,2985,11,11,7988,0,110,0,0
868,97,20,21,14926,0,20,1,0
15865,2005,24,25,11046,0,97,1,0
12041,2182,15,16,1745,0,93,1,0
6463,778,6,6,6607,1,93,1,0
13407,1315,16,17,7443,1,172,1,0
5452,60,18,19,5466,0,116,0,0
1520,641,26,27,14738,0,152,1,0
4246,1305,2,2,4259,0,20,1,0
5878,2241,15,16,1099,0,112,0,0
2504,843,28,29,2508,0,12,0,0
402,372,0,0,387,0,136,1,0
4035,127,25,26,4017,0,144,1,0
3471,778,20,21,3921,0,166,1,1
5676,743,20,21,12916,1,175,1,0
3458,1485,16,17,7992,1,111,0,0
2009,530,0,0,1997,1,78,0,0
4396,1852,26,27,5591,2,56,0,1
9798,632,25,26,13104,0,145,1,0
6205,329,27,28,6317,0,186,1,0
8993,989,25,26,15019,0,28,1,1
2692,141,14,15,13026,0,97,1,1
5109,2265,6,6,7200,0,38,1,0
3149,430,11,11,3169,1,167,1,0
1292,995,0,0,1282,0,11,0,0
6055,1356,19,20,6151,0,30,1,0
10486,1519,24,25,8240,0,39,0,0
22,657,16,17,22,0,22,1,0
