idDriver,idBike,unlock_date,lock_date,distance,trip_duration_category,station_unlock_count,travel_direction,lock_unlock_time_gap_hours
9471,1870,18,19,7541,0,172,1,0
10363,1452,10,10,11581,0,125,0,0
3693,923,20,21,6427,0,98,1,0
4644,55,20,21,5711,1,86,0,0
7176,12,5,5,7403,1,50,1,0
4392,235,17,18,4405,1,2,0,0
11847,518,12,13,8255,1,153,1,1
6500,477,28,29,1617,1,183,0,0
23,193,14,15,569,0,79,1,0
391,361,0,0,376,0,21,0,1
3269,447,16,17,1829,1,21,0,1
7464,639,16,17,13859,0,73,0,0
14854,2880,18,19,14929,0,84,0,1
214,2114,5,5,6319,0,13,1,0
6100,1136,4,4,6204,0,23,1,0
15141,958,19,20,917,2,121,1,1
1728,1919,18,19,1715,0,38,0,0
287,342,24,25,11457,1,36,0,0
7425,638,8,8,9878,1,38,1,1
2155,2695,10,10,1720,0,152,1,0
14873,832,19,20,8277,0,115,0,0
5994,294,28,29,6073,1,23,0,1
10309,970,9,9,8238,0,95,0,1
17073,650,25,26,9780,0,40,0,0
11318,2640,10,10,11558,0,135,1,0
7656,2943,26,27,3064,0,6,0,0
2536,719,12,13,3077,0,145,1,0
4401,2134,20,21,7421,0,57,1,1
6152,2140,26,27,6258,0,92,1,0
2933,1225,3,3,2294,0,94,0,0
17992,866,28,29,9740,0,17,1,1
11158,1354,13,14,2378,0,27,0,0
16738,2799,26,27,842,0,121,0,1
9591,960,8,8,9944,1,67,0,4
372,993,7,7,9387,1,28,1,1
1070,313,3,3,5457,0,134,1,0
3165,366,1,1,3182,0,176,1,0
10627,970,12,13,11375,1,64,0,0
