unlock_hour,lock_hour,station_lock,lock_station_name,distance,trip_speed,trip_duration_category,travel_direction,lock_unlock_time_gap_hours
0,0,232,232,7060,14336,0,0,0
10,10,153,153,24,24,0,2,0
12,12,117,117,1111,1172,0,0,0
9,22,158,158,2616,15532,0,1,1
4,14,103,103,665,30119,0,1,0
17,8,74,74,12317,24962,0,0,0
4,14,145,145,4472,26964,0,0,0
9,22,16,16,5797,9502,0,1,1
16,20,15,15,3559,11248,0,1,1
2,2,222,222,11306,21385,0,0,0
5,4,11,11,3276,29512,0,1,0
2,0,20,20,424,39122,0,1,1
21,13,73,73,1896,40158,0,1,1
20,21,242,242,16127,42016,0,1,0
2,2,31,31,6431,35585,0,0,0
5,4,171,171,2298,24809,0,0,0
8,18,145,145,1364,44142,0,0,0
5,12,23,23,2147,17400,0,0,1
0,0,121,121,5909,14086,0,0,0
8,18,2,2,6808,39956,0,0,0
4,4,83,83,108,110,0,1,1
9,22,25,25,3245,54537,1,1,1
2,2,29,29,32,32,0,0,0
12,12,19,19,10042,53007,0,1,0
9,22,13,13,5612,28286,0,0,1
8,18,31,31,3662,4441,0,0,0
3,3,201,201,1044,1101,0,1,0
8,18,112,112,5926,8085,0,1,0
8,18,117,117,8603,13773,0,1,0
13,13,136,136,6701,50888,0,0,0
12,12,80,80,8656,53324,0,0,0
17,8,48,48,24,24,1,2,0
6,9,91,91,6509,43204,0,0,1
12,12,80,80,4957,50510,0,1,0
0,0,19,19,5403,51576,1,1,0
2,2,112,112,1768,32970,0,0,0
17,8,212,212,5876,38340,0,0,0
6,6,88,88,943,56921,0,0,0
2,2,208,208,14699,49266,0,0,0
23,16,133,133,1411,21591,0,0,1
7,7,156,156,24,24,0,2,0
19,15,22,22,451,53862,1,1,1
21,22,171,171,24,24,0,2,0
9,9,76,76,3498,30875,0,0,0
4,14,111,111,1703,48598,0,1,0
3,3,153,153,15687,39630,0,1,0
3,3,54,54,3249,41938,0,0,0
6,6,232,232,3761,31389,0,0,0
13,13,67,67,3161,3726,0,0,0
16,17,161,161,18569,57476,0,1,0
17,8,118,118,1106,5124,0,0,0
6,9,30,30,5628,40484,0,0,1
17,9,238,238,16545,44015,0,1,4
7,14,165,165,4017,27166,0,1,1
20,21,210,210,5253,50227,0,0,0
3,3,98,98,5732,8260,0,0,0
16,17,238,238,12087,24124,0,1,0
2,2,61,61,733,6607,0,1,0
